quiz,submission_date,submission_time,submission_id,coursera_user_id,Q01,Q01_corr,Q02,Q02_corr,Q03,Q03_corr,Q04,Q04_corr,Q05v1,Q05v2,Q05v3,Q05_corr,Q06v1,Q06v2,Q06_corr,Q07,Q07_corr,Q08v1,Q08v2,Q08_corr,Q09,Q09_corr,Q10,Q10_corr,Q11,Q11_corr,Q12v1,Q12v2,Q12v3,Q12_corr,Q13,Q13_corr,Q14v1,Q14v2,Q14v3,Q14_corr,Q15v1,Q15v2,Q15v3,Q15v4,Q15_corr,Q16,Q16_corr,Q17,Q17_corr,Q18,Q18_corr,Q19,Q19_corr,Q20,Q20_corr
W02Q01,31-Aug-13,10:31:00 PM,6566,4405862,1,1,3,0,4,0,4,0,9997,9997,4,0,1,9997,1,5,0,4,9997,0,1,1,4,0,2,0,5,9997,9997,0,5,0,1,9997,9997,1,4,9997,9997,9997,0,3,0,1,1,5,0,9999,0,1,1
W02Q01,31-Aug-13,11:19:00 PM,6596,4346505,1,1,3,0,1,1,1,1,9997,1,9997,1,1,9997,1,1,1,1,9997,1,1,1,1,1,1,1,4,9997,9997,0,1,1,1,9997,9997,1,9997,9997,9997,1,1,1,1,1,1,1,1,1,1,1,1
W02Q01,31-Aug-13,11:35:00 PM,6608,3821480,1,1,1,1,4,0,1,1,5,9997,9997,0,1,9997,1,1,1,1,9997,1,4,0,1,1,1,1,9997,1,9997,1,1,1,1,9997,9997,1,9997,9997,9997,1,1,1,1,1,1,1,1,9999,0,1,1
W02Q01,01-Sep-13,1:19:00 AM,6659,2716132,1,1,1,1,1,1,1,1,9997,1,9997,1,9997,1,1,1,1,1,9997,1,1,1,1,1,1,1,9997,1,9997,1,1,1,9997,9997,1,1,9997,1,9997,9997,1,1,1,2,0,1,1,1,1,1,1
W02Q01,01-Sep-13,4:40:00 AM,6886,2182043,1,1,4,0,1,1,1,1,9997,3,9997,0,2,9997,0,1,1,2,9997,0,1,1,5,0,1,1,9997,4,9997,0,1,1,1,9997,9997,1,9997,9997,9997,5,0,4,0,4,0,1,1,9999,0,5,0
W02Q01,01-Sep-13,5:11:00 AM,6927,3527919,1,1,1,1,1,1,1,1,9997,1,9997,1,1,9997,1,1,1,9997,1,1,1,1,1,1,1,1,1,9997,9997,1,1,1,1,9997,9997,1,1,9997,9997,9997,1,1,1,1,1,1,1,1,1,1,1
W02Q01,01-Sep-13,5:33:00 AM,6961,229743,1,1,1,1,1,1,1,1,9997,1,9997,1,2,9997,0,5,0,9997,1,1,4,0,4,0,2,0,9997,3,9997,0,4,0,9997,1,9997,1,9997,9997,9997,2,0,3,0,1,1,1,1,3,0,4,0
W02Q01,01-Sep-13,6:00:00 AM,6982,3582676,1,1,1,1,1,1,1,1,9997,1,9997,1,1,9997,1,1,1,1,9997,1,1,1,1,1,1,1,4,9997,9997,0,1,1,1,9997,9997,1,9997,1,9997,9997,1,1,1,1,1,1,1,3,0,1,1
W02Q01,01-Sep-13,6:21:00 AM,6996,870072,1,1,3,0,4,0,1,1,1,9997,9997,1,9997,1,1,1,1,1,9997,1,1,1,1,1,2,0,1,9997,9997,1,1,1,1,9997,9997,1,4,9997,9997,9997,0,1,1,1,1,1,1,9999,0,1,1
W02Q01,01-Sep-13,6:26:00 AM,7000,3653308,1,1,1,1,1,1,1,1,9997,1,9997,1,1,9997,1,1,1,1,9997,1,1,1,1,1,1,1,1,9997,9997,1,5,0,9997,1,9997,1,9997,1,9997,9997,1,1,1,1,1,1,1,1,1,1,1
W02Q01,01-Sep-13,8:03:00 AM,7072,4173248,1,1,5,0,1,1,1,1,9997,1,9997,1,1,9997,1,4,0,9997,1,1,1,1,4,0,5,0,9997,9997,4,0,1,1,9997,9997,1,1,4,9997,9997,9997,0,4,0,4,0,1,1,3,0,1,1
W02Q01,01-Sep-13,9:21:00 AM,7143,1960199,1,1,1,1,1,1,1,1,9997,9997,1,1,1,9997,1,5,0,1,9997,1,1,1,1,1,2,0,1,9997,9997,1,5,0,1,9997,9997,1,1,9997,9997,9997,1,1,1,1,1,1,1,9999,0,1,1
