quiz,submission_id,submission_date,submission_time,coursera_user_id,Q01,Q01_corr,Q02v1,Q02v2,Q02_corr,Q03,Q03_corr,Q04,Q04_corr,Q05v1,Q05v2,Q05_corr,Q06v1,Q06v2,Q06_corr,Q07,Q07_corr,Q08v1,Q08v2,Q08_corr,Q09v1,Q09v2,Q09_corr,Q10v1,Q10v2,Q10_corr,Q11v1,Q11v2,Q11_corr,Q12v1,Q12v2,Q12_corr,Q13v1,Q13v2,Q13_corr,Q14v1,Q14v2,Q14_corr,Q15,Q15_corr,Q16,Q16_corr,Q17,Q17_corr,Q18,Q18_corr,Q19,Q19_corr,Q20,Q20_corr
W06Q01,22950,29-Sep-13,10:24:00 PM,4502277,2,0,1,9997,1,1,1,5,0,9997,1,1,1,9997,1,1,1,1,9997,1,1,9997,1,2,9997,0,3,9997,0,9997,3,0,9997,1,1,1,9997,1,4,0,1,1,1,1,2,0,1,1,1,1
W06Q01,22964,29-Sep-13,10:40:00 PM,605899,1,1,1,9997,1,1,1,1,1,9997,2,0,1,9997,1,1,1,5,9997,0,1,9997,1,1,9997,1,9997,1,1,9997,1,1,1,9997,1,1,9997,1,2,0,1,1,1,1,2,0,3,0,2,0
W06Q01,22999,29-Sep-13,11:14:00 PM,3824648,1,1,1,9997,1,1,1,1,1,1,9997,1,9997,1,1,2,0,1,9997,1,1,9997,1,2,9997,0,1,9997,1,9997,1,1,9997,1,1,9997,1,1,1,1,1,1,1,1,4,0,1,1,4,0
W06Q01,23079,30-Sep-13,12:47:00 AM,1368787,1,1,1,9997,1,1,1,1,1,1,9997,1,9997,1,1,1,1,1,9997,1,9997,1,1,1,9997,1,1,9997,1,1,9997,1,1,9997,1,9997,1,1,1,1,4,0,1,1,1,1,1,1,2,0
W06Q01,23204,30-Sep-13,2:54:00 AM,2959831,1,1,1,9997,1,1,1,1,1,2,9997,0,9997,5,0,2,0,1,9997,1,9997,1,1,1,9997,1,9997,1,1,1,9997,1,9997,1,1,9997,1,1,1,1,1,1,1,1,1,1,2,0,5,0
W06Q01,23211,30-Sep-13,2:59:00 AM,2630926,1,1,1,9997,1,3,0,1,1,1,9997,1,9997,1,1,1,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,9997,1,1,2,9997,0,1,9997,1,1,1,5,0,1,1,1,1,1,1,4,0
W06Q01,23233,30-Sep-13,3:17:00 AM,567557,5,0,9997,3,0,2,0,3,0,3,9997,0,5,9997,0,3,0,9997,3,0,9997,5,0,2,9997,0,3,9997,0,9997,1,1,9997,2,0,5,9997,0,2,0,4,0,5,0,5,0,3,0,5,0
W06Q01,23323,30-Sep-13,4:25:00 AM,3834663,1,1,9997,5,0,2,0,1,1,9997,1,1,1,9997,1,1,1,9997,1,1,9997,1,1,9997,5,0,1,9997,1,9997,1,1,1,9997,1,9997,1,1,5,0,1,1,1,1,1,1,1,1,1,1
W06Q01,23367,30-Sep-13,4:51:00 AM,1701013,1,1,9997,1,1,4,0,1,1,1,9997,1,2,9997,0,3,0,9997,1,1,9997,1,1,2,9997,0,2,9997,0,1,9997,1,9997,1,1,1,9997,1,3,0,5,0,1,1,5,0,1,1,2,0
W06Q01,23378,30-Sep-13,4:54:00 AM,4718342,1,1,9997,1,1,1,1,1,1,1,9997,1,1,9997,1,1,1,9997,1,1,1,9997,1,1,9997,1,1,9997,1,9997,1,1,9997,1,1,1,9997,1,3,0,1,1,1,1,1,1,1,1,4,0
W06Q01,23409,30-Sep-13,6:30:00 AM,4238642,1,1,9997,1,1,1,1,1,1,1,9997,1,1,9997,1,4,0,1,9997,1,9997,1,1,9997,1,1,9997,4,0,1,9997,1,1,9997,1,9997,1,1,2,0,1,1,1,1,1,1,1,1,1,1
W06Q01,23421,30-Sep-13,8:49:00 AM,3652852,1,1,3,9997,0,1,1,1,1,4,9997,0,9997,1,1,1,1,9997,1,1,9997,1,1,1,9997,1,1,9997,1,1,9997,1,9997,1,1,9997,4,0,1,1,1,1,1,1,1,1,1,1,2,0
W06Q01,23428,30-Sep-13,9:53:00 AM,4224622,1,1,1,9997,1,1,1,5,0,9997,1,1,9997,1,1,2,0,1,9997,1,1,9997,1,1,9997,1,9997,3,0,1,9997,1,1,9997,1,9997,1,1,3,0,5,0,1,1,1,1,1,1,1,1
W06Q01,23432,30-Sep-13,11:12:00 AM,4556652,1,1,9997,1,1,1,1,1,1,9997,1,1,1,9997,1,1,1,1,9997,1,1,9997,1,9997,1,1,9997,4,0,1,9997,1,9997,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1
W06Q01,23438,30-Sep-13,11:51:00 AM,4426147,1,1,9997,1,1,2,0,5,0,1,9997,1,4,9997,0,1,1,9997,1,1,9997,1,1,1,9997,1,9997,2,0,1,9997,1,1,9997,1,9997,1,1,3,0,5,0,1,1,2,0,2,0,4,0
W06Q01,23441,30-Sep-13,12:23:00 PM,4111830,1,1,1,9997,1,2,0,5,0,1,9997,1,9997,1,1,1,1,1,9997,1,1,9997,1,1,9997,1,1,9997,1,1,9997,1,1,9997,1,1,9997,1,3,0,5,0,1,1,1,1,1,1,4,0
W06Q01,23443,30-Sep-13,1:05:00 PM,305737,2,0,9997,1,1,1,1,5,0,9997,2,0,9997,1,1,1,1,9997,1,1,9997,1,1,2,9997,0,1,9997,1,4,9997,0,1,9997,1,9997,4,0,1,1,1,1,1,1,1,1,1,1,2,0
