quiz,submission_id,submission_date,submission_time,coursera_user_id,Q01,Q01_corr,Q02,Q02_corr,Q03,Q03_corr,Q04,Q04_corr,Q05,Q05_corr,Q06,Q06_corr,Q07,Q07_corr,Q08,Q08_corr,Q09v1,Q09v2,Q09_corr,Q10,Q10_corr,Q11,Q11_corr,Q12,Q12_corr,Q13,Q13_corr,Q14,Q14_corr,Q15,Q15_corr,Q16,Q16_corr,Q17,Q17_corr,Q18,Q18_corr,Q19,Q19_corr,Q20,Q20_corr
W01Q01,615,22-Aug-13,4:19:00 AM,3935247,1,1,1,1,4,0,2,1,1,1,1,1,1,1,1,1,2,9997,0,1,1,2,0,1,1,1,1,4,0,1,1,1,1,1,1,2,0,1,1,2,0
W01Q01,620,22-Aug-13,4:38:00 AM,4130215,1,1,1,1,1,1,4,0,1,1,1,1,5,0,5,0,9999,9999,0,5,0,4,0,4,0,1,1,2,0,1,1,2,0,4,0,3,0,1,1,5,0
W01Q01,624,22-Aug-13,5:09:00 AM,3835742,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
W01Q01,629,22-Aug-13,5:34:00 AM,2632310,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0,9997,1,1,1,1,4,0,1,1,1,1,2,0,1,1,3,0,1,1,5,0,2,0,2,0
W01Q01,634,22-Aug-13,5:55:00 AM,1930303,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1
W01Q01,638,22-Aug-13,6:01:00 AM,2816937,1,1,1,1,1,1,2,1,1,1,5,0,1,1,4,0,9997,5,0,5,0,5,0,5,0,5,0,2,0,4,0,1,1,4,0,5,0,2,0,3,0
W01Q01,640,22-Aug-13,6:28:00 AM,4111830,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,0,3,0,4,0
W01Q01,665,22-Aug-13,8:43:00 AM,2894129,1,1,1,1,1,1,5,0,1,1,1,1,5,0,1,1,9997,2,0,3,0,2,0,1,1,2,0,1,1,1,1,1,1,4,0,1,1,2,0,3,0
W01Q01,669,22-Aug-13,8:55:00 AM,4141836,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0,2,0
W01Q01,671,22-Aug-13,9:10:00 AM,1474614,1,1,1,1,5,0,1,1,1,1,1,1,1,1,1,1,9997,5,0,1,1,1,1,2,0,1,1,1,1,1,1,2,0,1,1,5,0,2,0,1,1
W01Q01,673,22-Aug-13,9:32:00 AM,2841971,1,1,1,1,5,0,4,0,1,1,1,1,1,1,1,1,9997,1,1,1,1,4,0,4,0,1,1,1,1,1,1,1,1,3,0,4,0,4,0,1,1
W01Q01,681,22-Aug-13,10:23:00 AM,2248147,1,1,1,1,1,1,2,1,1,1,4,0,1,1,1,1,1,9997,1,4,0,4,0,4,0,1,1,2,0,4,0,1,1,9999,0,4,0,3,0,2,0
W01Q01,684,22-Aug-13,10:41:00 AM,3214220,1,1,1,1,1,1,3,0,1,1,1,1,3,0,1,1,9997,2,0,3,0,1,1,2,0,4,0,4,0,1,1,2,0,4,0,5,0,2,0,1,1
W01Q01,686,22-Aug-13,10:48:00 AM,2923593,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,5,0,1,1,2,0,1,1,1,1,1,1,2,0,1,1,2,0,1,1,2,0
W01Q01,688,22-Aug-13,11:09:00 AM,1359355,1,1,1,1,1,1,1,1,1,1,3,0,1,1,1,1,9997,1,1,1,1,1,1,4,0,1,1,1,1,1,1,1,1,4,0,2,0,2,0,2,0
W01Q01,691,22-Aug-13,11:29:00 AM,1907578,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9997,1,1,1,1,1,1,1,1,1,1,5,0,1,1,1,1,1,1,1,1,4,0,1,1
