quiz,submission_id,submission_date,submission_time,coursera_user_id,Q01v1,Q01v2,Q01_corr,Q02,Q02_corr,Q03v1,Q03v2,Q03v3,Q03_corr,Q04v1,Q04v2,Q04_corr,Q05v1,Q05v2,Q05_corr,Q06v1,Q06v2,Q06v3,Q06_corr,Q07v1,Q07v2,Q07_corr,Q08v1,Q08v2,Q08_corr,Q09v1,Q09v2,Q09_corr,Q10v1,Q10v2,Q10_corr,Q11,Q11_corr,Q12,Q12_corr,Q13,Q13_corr,Q14,Q14_corr,Q15,Q15_corr,Q16,Q16_corr,Q17,Q17_corr,Q18,Q18_corr,Q19,Q19_corr,Q20,Q20_corr
W05Q01,19898,22-Sep-13,8:23:00 AM,4224622,2,9997,0,1,1,9997,1,9997,1,1,9997,1,1,9997,1,5,9997,9997,0,9999,9999,0,1,9997,1,1,9997,1,9997,1,1,3,0,3,0,#NULL!,0,3,0,2,0,1,1,1,1,1,1,3,0,1,1
W05Q01,19911,22-Sep-13,8:51:00 AM,4565929,9997,1,1,1,1,1,9997,9997,1,9997,1,1,5,9997,0,9997,4,9997,0,9999,9999,0,1,9997,1,9997,1,1,3,9997,0,2,0,1,1,#NULL!,0,5,0,2,0,3,0,1,1,3,0,3,0,2,0
W05Q01,19914,22-Sep-13,8:59:00 AM,3974193,1,9997,1,3,0,9997,6,9997,0,9997,1,1,1,9997,1,9997,9997,1,1,9999,9999,0,1,9997,1,1,9997,1,9997,1,1,4,0,3,0,#NULL!,0,3,0,2,0,1,1,1,1,1,1,3,0,1,1
W05Q01,19978,22-Sep-13,11:45:00 AM,3515885,9997,1,1,1,1,1,9997,9997,1,1,9997,1,6,9997,0,1,9997,9997,1,9999,9999,0,9997,1,1,1,9997,1,1,9997,1,1,1,3,0,#NULL!,0,5,0,1,1,3,0,1,1,1,1,1,1,4,0
W05Q01,20002,22-Sep-13,12:34:00 PM,3123158,9997,1,1,1,1,9997,1,9997,1,9997,1,1,9997,1,1,1,9997,9997,1,9999,9999,0,1,9997,1,9997,1,1,1,9997,1,1,1,3,0,#NULL!,0,5,0,1,1,1,1,4,0,1,1,1,1,4,0
W05Q01,20003,22-Sep-13,12:35:00 PM,4188119,9997,1,1,1,1,9997,9997,6,0,1,9997,1,9997,7,0,9997,9997,5,0,9999,9999,0,1,9997,1,1,9997,1,9997,1,1,5,0,1,1,#NULL!,0,3,0,2,0,3,0,5,0,5,0,1,1,1,1
W05Q01,20078,22-Sep-13,2:08:00 PM,3374956,9997,1,1,5,0,9997,1,9997,1,1,9997,1,1,9997,1,9997,9997,1,1,9999,9999,0,1,9997,1,1,9997,1,1,9997,1,1,1,3,0,#NULL!,0,5,0,2,0,1,1,1,1,1,1,1,1,1,1
W05Q01,20090,22-Sep-13,2:25:00 PM,3098349,9997,1,1,1,1,1,9997,9997,1,1,9997,1,5,9997,0,9997,9997,1,1,9999,9999,0,1,9997,1,9997,1,1,1,9997,1,5,0,3,0,#NULL!,0,3,0,5,0,1,1,1,1,1,1,1,1,2,0
W05Q01,20091,22-Sep-13,2:25:00 PM,2163502,1,9997,1,5,0,1,9997,9997,1,9997,1,1,9997,1,1,9997,9997,1,1,9999,9999,0,1,9997,1,9997,1,1,9997,1,1,5,0,2,0,#NULL!,0,5,0,2,0,1,1,1,1,1,1,1,1,1,1
W05Q01,20100,22-Sep-13,2:39:00 PM,4384478,9997,1,1,2,0,9997,6,9997,0,9997,3,0,1,9997,1,9997,1,9997,1,9999,9999,0,1,9997,1,1,9997,1,4,9997,0,2,0,3,0,#NULL!,0,3,0,3,0,4,0,4,0,5,0,2,0,1,1
W05Q01,20211,22-Sep-13,5:02:00 PM,2561479,9997,1,1,1,1,9997,6,9997,0,1,9997,1,9997,1,1,9997,9997,1,1,9999,9999,0,1,9997,1,9997,1,1,9997,1,1,5,0,3,0,#NULL!,0,3,0,1,1,2,0,1,1,1,1,1,1,5,0
W05Q01,20239,22-Sep-13,5:38:00 PM,4299619,1,9997,1,1,1,1,9997,9997,1,9997,1,1,9997,1,1,1,9997,9997,1,9999,9999,0,9997,1,1,1,9997,1,9997,1,1,1,1,3,0,#NULL!,0,5,0,2,0,1,1,1,1,1,1,1,1,1,1
W05Q01,20243,22-Sep-13,5:44:00 PM,4259653,9997,1,1,1,1,9997,9997,1,1,1,9997,1,9997,1,1,1,9997,9997,1,9999,9999,0,1,9997,1,1,9997,1,9997,1,1,5,0,3,0,#NULL!,0,4,0,4,0,2,0,1,1,1,1,1,1,1,1
W05Q01,20264,22-Sep-13,6:00:00 PM,3935247,9997,1,1,5,0,9997,9997,1,1,9997,1,1,5,9997,0,9997,9997,5,0,9999,9999,0,9997,1,1,9997,1,1,9997,1,1,5,0,3,0,#NULL!,0,3,0,1,1,1,1,1,1,1,1,1,1,4,0
W05Q01,20342,22-Sep-13,7:39:00 PM,4558219,1,9997,1,5,0,1,9997,9997,1,1,9997,1,9997,1,1,1,9997,9997,1,9999,9999,0,9997,1,1,9997,1,1,9997,1,1,1,1,2,0,#NULL!,0,5,0,1,1,3,0,1,1,1,1,3,0,1,1
W05Q01,20374,22-Sep-13,8:10:00 PM,3185894,4,9997,0,3,0,9997,6,9997,0,9997,1,1,9997,1,1,9997,1,9997,1,9999,9999,0,9997,1,1,1,9997,1,9997,1,1,5,0,3,0,#NULL!,0,1,1,2,0,1,1,1,1,1,1,1,1,1,1
