quiz,submission_id,submission_date,submission_time,coursera_user_id,Q01,Q01_corr,Q02v1,Q02v2,Q02_corr,Q03v1,Q03v2,Q03_corr,Q04v1,Q04v2,Q04_corr,Q05v1,Q05v2,Q05_corr,Q06v1,Q06v2,Q06_corr,Q07v1,Q07v2,Q07_corr,Q08v1,Q08v2,Q08_corr,Q09v1,Q09v2,Q09_corr,Q10v1,Q10v2,Q10_corr,Q11v1,Q11v2,Q11v3,Q11_corr,Q12v1,Q12v2,Q12v3,Q12v4,Q12v5,Q12_corr,Q13v1,Q13v2,Q13_corr,Q14v1,Q14v2,Q14v3,Q14_corr,Q15v1,Q15v2,Q15v3,Q15v4,Q15_corr,Q16,Q16_corr,Q17,Q17_corr,Q18,Q18_corr,Q19v1,Q19v2,Q19_corr,Q20,Q20_corr
W07Q01,25575,07-Oct-13,6:38:00 PM,4289055,1,1,1,9997,1,1,9997,1,1,9997,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,9997,1,1,9997,1,1,9997,9997,1,1,9997,3,9997,9997,9997,0,1,9997,1,9997,1,9997,1,9997,9997,9997,1,1,1,1,1,1,1,1,1,9997,1,1,1
W07Q01,25576,07-Oct-13,7:01:00 PM,3204853,1,1,9997,1,1,1,9997,1,9997,1,1,9997,1,1,1,9997,1,9997,1,1,9997,1,1,9997,1,1,9997,1,1,9997,9997,1,1,2,9997,9997,9997,9997,0,1,9997,1,1,9997,9997,1,9997,9997,9997,1,1,1,1,1,1,1,1,1,9997,1,1,1
W07Q01,25577,07-Oct-13,7:04:00 PM,3316362,1,1,1,9997,1,1,9997,1,9997,1,1,9997,1,1,1,9997,1,1,9997,1,1,9997,1,1,9997,1,9997,1,1,2,9997,9997,0,9997,9997,1,9997,9997,1,1,9997,1,9997,1,9997,1,9997,9997,9997,1,1,1,1,1,1,2,0,9997,1,1,1,1
W07Q01,25580,07-Oct-13,7:44:00 PM,1002457,1,1,9997,2,0,1,9997,1,9997,1,1,9997,1,1,1,9997,1,1,9997,1,9997,1,1,1,9997,1,9997,1,1,9997,1,9997,1,1,9997,9997,9997,9997,1,5,9997,0,9997,9997,5,0,9997,9997,1,9997,1,1,1,2,0,2,0,9997,1,1,1,1
W07Q01,25583,07-Oct-13,8:34:00 PM,2218696,3,0,1,9997,1,1,9997,1,9997,1,1,9997,1,1,1,9997,1,9997,1,1,3,9997,0,1,9997,1,9997,4,0,9997,1,9997,1,9997,9997,9997,1,9997,1,9997,1,1,9997,1,9997,1,9997,9997,9997,1,1,1,1,1,1,1,1,9997,1,1,1,1
W07Q01,25584,07-Oct-13,9:00:00 PM,2721925,1,1,9997,3,0,9997,1,1,3,9997,0,1,9997,1,1,9997,1,9997,1,1,1,9997,1,9997,1,1,9997,1,1,9997,9997,2,0,9997,3,9997,9997,9997,0,1,9997,1,9997,9997,1,1,9997,9997,9997,1,1,1,1,1,1,1,1,9997,1,1,1,1
W07Q01,25585,07-Oct-13,9:21:00 PM,4286658,3,0,9997,1,1,5,9997,0,9997,3,0,9997,1,1,9999,9999,0,9999,9999,0,9997,5,0,3,9997,0,1,9997,1,9997,1,9997,1,1,9997,9997,9997,9997,1,5,9997,0,9997,9997,1,1,9997,9997,4,9997,0,3,0,4,0,3,0,4,9997,0,1,1
W07Q01,25590,07-Oct-13,10:27:00 PM,870072,1,1,1,9997,1,1,9997,1,3,9997,0,9997,1,1,1,9997,1,4,9997,0,9997,1,1,1,9997,1,9997,1,1,9997,1,9997,1,9997,9997,9997,9997,1,1,9997,1,1,1,9997,9997,1,9997,9997,1,9997,1,1,1,1,1,3,0,9997,1,1,1,1
W07Q01,25597,07-Oct-13,11:35:00 PM,809288,3,0,9997,4,0,3,9997,0,2,9997,0,9997,2,0,9997,4,0,1,9997,1,9997,5,0,5,9997,0,1,9997,1,9997,1,9997,1,9997,9997,9997,1,9997,1,3,9997,0,3,9997,9997,0,9997,2,9997,9997,0,3,0,4,0,5,0,9997,3,0,1,1
W07Q01,25600,08-Oct-13,12:01:00 AM,2304957,1,1,9997,1,1,9997,1,1,9997,1,1,1,9997,1,9997,1,1,1,9997,1,9997,1,1,9997,1,1,1,9997,1,9997,5,9997,0,9997,1,9997,9997,9997,1,1,9997,1,9997,1,9997,1,9997,5,9997,9997,0,1,1,1,1,1,1,9997,1,1,1,1
